T,X,U,V
0.0,-1.0,4.95,1.0
0.0,-0.368421052631579,1.357085580988482,1.0
0.0,0.26315789473684204,-0.667553579238956,1.0
0.0,0.894736842105263,-1.3506560723137486,1.0
0.0,1.526315789473684,-0.9189604898673278,1.0
0.0,2.1578947368421053,0.4007945764688731,1.0
0.0,2.789473684210526,2.3818705350634195,1.0
0.0,3.421052631578947,4.797528794284879,1.0
0.0,4.052631578947368,7.421030762501822,1.0
0.0,4.684210526315789,10.025637848082809,1.0
0.0,5.315789473684211,12.384611459396414,1.0
0.0,5.947368421052631,14.271213004811196,1.0
0.0,6.578947368421052,15.45870389269573,1.0
0.0,7.210526315789473,15.720345531418573,1.0
0.0,7.842105263157894,14.829399329348306,1.0
0.0,8.473684210526315,12.559126694853477,1.0
0.0,9.105263157894736,8.682789036302673,1.0
0.0,9.736842105263158,2.97364776206445,1.0
0.0,10.368421052631579,-4.795035719492623,1.0
0.0,11.0,-14.850000000000014,1.0
0.5263157894736842,-1.0,4.95,1.0
0.5263157894736842,-0.368421052631579,1.357085580988482,1.0
0.5263157894736842,0.26315789473684204,-0.667553579238956,1.0
0.5263157894736842,0.894736842105263,-1.3506560723137486,1.0
0.5263157894736842,1.526315789473684,-0.9189604898673278,1.0
0.5263157894736842,2.1578947368421053,0.4007945764688731,1.0
0.5263157894736842,2.789473684210526,2.3818705350634195,1.0
0.5263157894736842,3.421052631578947,4.797528794284879,1.0
0.5263157894736842,4.052631578947368,7.421030762501822,1.0
0.5263157894736842,4.684210526315789,10.025637848082809,1.0
0.5263157894736842,5.315789473684211,12.384611459396414,1.0
0.5263157894736842,5.947368421052631,14.271213004811196,1.0
0.5263157894736842,6.578947368421052,15.45870389269573,1.0
0.5263157894736842,7.210526315789473,15.720345531418573,1.0
0.5263157894736842,7.842105263157894,14.829399329348306,1.0
0.5263157894736842,8.473684210526315,12.559126694853477,1.0
0.5263157894736842,9.105263157894736,8.682789036302673,1.0
0.5263157894736842,9.736842105263158,2.97364776206445,1.0
0.5263157894736842,10.368421052631579,-4.795035719492623,1.0
0.5263157894736842,11.0,-14.850000000000014,1.0
1.0526315789473684,-1.0,4.95,1.0
1.0526315789473684,-0.368421052631579,1.357085580988482,1.0
1.0526315789473684,0.26315789473684204,-0.667553579238956,1.0
1.0526315789473684,0.894736842105263,-1.3506560723137486,1.0
1.0526315789473684,1.526315789473684,-0.9189604898673278,1.0
1.0526315789473684,2.1578947368421053,0.4007945764688731,1.0
1.0526315789473684,2.789473684210526,2.3818705350634195,1.0
1.0526315789473684,3.421052631578947,4.797528794284879,1.0
1.0526315789473684,4.052631578947368,7.421030762501822,1.0
1.0526315789473684,4.684210526315789,10.025637848082809,1.0
1.0526315789473684,5.315789473684211,12.384611459396414,1.0
1.0526315789473684,5.947368421052631,14.271213004811196,1.0
1.0526315789473684,6.578947368421052,15.45870389269573,1.0
1.0526315789473684,7.210526315789473,15.720345531418573,1.0
1.0526315789473684,7.842105263157894,14.829399329348306,1.0
1.0526315789473684,8.473684210526315,12.559126694853477,1.0
1.0526315789473684,9.105263157894736,8.682789036302673,1.0
1.0526315789473684,9.736842105263158,2.97364776206445,1.0
1.0526315789473684,10.368421052631579,-4.795035719492623,1.0
1.0526315789473684,11.0,-14.850000000000014,1.0
1.5789473684210527,-1.0,4.95,1.0
1.5789473684210527,-0.368421052631579,1.357085580988482,1.0
1.5789473684210527,0.26315789473684204,-0.667553579238956,1.0
1.5789473684210527,0.894736842105263,-1.3506560723137486,1.0
1.5789473684210527,1.526315789473684,-0.9189604898673278,1.0
1.5789473684210527,2.1578947368421053,0.4007945764688731,1.0
1.5789473684210527,2.789473684210526,2.3818705350634195,1.0
1.5789473684210527,3.421052631578947,4.797528794284879,1.0
1.5789473684210527,4.052631578947368,7.421030762501822,1.0
1.5789473684210527,4.684210526315789,10.025637848082809,1.0
1.5789473684210527,5.315789473684211,12.384611459396414,1.0
1.5789473684210527,5.947368421052631,14.271213004811196,1.0
1.5789473684210527,6.578947368421052,15.45870389269573,1.0
1.5789473684210527,7.210526315789473,15.720345531418573,1.0
1.5789473684210527,7.842105263157894,14.829399329348306,1.0
1.5789473684210527,8.473684210526315,12.559126694853477,1.0
1.5789473684210527,9.105263157894736,8.682789036302673,1.0
